Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
1,11,12,251,3600
1,11,13,252,3600
1,11,14,253,3600
1,11,15,254,3600
1,11,16,255,3600
1,11,17,256,3600
1,11,18,257,3600
1,11,19,258,3600
1,11,20,259,3600
1,11,21,260,3600
1,11,22,261,3600
1,11,23,262,3600
1,11,24,263,3600
1,12,1,264,3600
1,12,2,265,3600
1,12,3,266,3600
1,12,4,267,3600
1,12,5,268,3600
1,12,6,269,3600
1,12,7,270,3600
1,12,8,271,3600
1,12,9,272,3600
1,12,10,273,3600
1,12,11,274,3600
1,12,12,275,3600
1,12,13,276,3600
1,12,14,277,3600
1,12,15,278,3600
1,12,16,279,3600
1,12,17,280,3600
1,12,18,281,3600
1,12,19,282,3600
1,12,20,283,3600
1,12,21,284,3600
1,12,22,285,3600
1,12,23,286,3600
1,12,24,287,3600
1,13,1,288,3600
1,13,2,289,3600
1,13,3,290,3600
1,13,4,291,3600
1,13,5,292,3600
1,13,6,293,3600
1,13,7,294,3600
1,13,8,295,3600
1,13,9,296,3600
1,13,10,297,3600
1,13,11,298,3600
1,13,12,299,3600
1,13,13,300,3600
1,13,14,301,3600
1,13,15,302,3600
1,13,16,303,3600
1,13,17,304,3600
1,13,18,305,3600
1,13,19,306,3600
1,13,20,307,3600
1,13,21,308,3600
1,13,22,309,3600
1,13,23,310,3600
1,13,24,311,3600
1,14,1,312,3600
1,14,2,313,3600
1,14,3,314,3600
1,14,4,315,3600
1,14,5,316,3600
1,14,6,317,3600
1,14,7,318,3600
1,14,8,319,3600
1,14,9,320,3600
1,14,10,321,3600
1,14,11,322,3600
1,14,12,323,3600
1,14,13,324,3600
1,14,14,325,3600
1,14,15,326,3600
1,14,16,327,3600
1,14,17,328,3600
1,14,18,329,3600
1,14,19,330,3600
1,14,20,331,3600
1,14,21,332,3600
1,14,22,333,3600
1,14,23,334,3600
1,14,24,335,3600
1,15,1,336,3600
1,15,2,337,3600
1,15,3,338,3600
1,15,4,339,3600
1,15,5,340,3600
1,15,6,341,3600
1,15,7,342,3600
1,15,8,343,3600
1,15,9,344,3600
1,15,10,345,3600
1,15,11,346,3600
1,15,12,347,3600
1,15,13,348,3600
1,15,14,349,3600
1,15,15,350,3600
1,15,16,351,3600
1,15,17,352,3600
1,15,18,353,3600
1,15,19,354,3600
1,15,20,355,3600
1,15,21,356,3600
1,15,22,357,3600
1,15,23,358,3600
1,15,24,359,3600
1,16,1,360,3600
1,16,2,361,3600
1,16,3,362,3600
1,16,4,363,3600
1,16,5,364,3600
1,16,6,365,3600
1,16,7,366,3600
1,16,8,367,3600
1,16,9,368,3600
1,16,10,369,3600
1,16,11,370,3600
1,16,12,371,3600
1,16,13,372,3600
1,16,14,373,3600
1,16,15,374,3600
1,16,16,375,3600
1,16,17,376,3600
1,16,18,377,3600
1,16,19,378,3600
1,16,20,379,3600
1,16,21,380,3600
1,16,22,381,3600
1,16,23,382,3600
1,16,24,383,3600
1,17,1,384,3600
1,17,2,385,3600
1,17,3,386,3600
1,17,4,387,3600
1,17,5,388,3600
1,17,6,389,3600
1,17,7,390,3600
1,17,8,391,3600
1,17,9,392,3600
1,17,10,393,3600
1,17,11,394,3600
1,17,12,395,3600
1,17,13,396,3600
1,17,14,397,3600
1,17,15,398,3600
1,17,16,399,3600
1,17,17,400,3600
1,17,18,401,3600
1,17,19,402,3600
1,17,20,403,3600
1,17,21,404,3600
1,17,22,405,3600
1,17,23,406,3600
1,17,24,407,3600
1,18,1,408,3600
1,18,2,409,3600
1,18,3,410,3600
1,18,4,411,3600
1,18,5,412,3600
1,18,6,413,3600
1,18,7,414,3600
1,18,8,415,3600
1,18,9,416,3600
1,18,10,417,3600
1,18,11,418,3600
1,18,12,419,3600
1,18,13,420,3600
1,18,14,421,3600
1,18,15,422,3600
1,18,16,423,3600
1,18,17,424,3600
1,18,18,425,3600
1,18,19,426,3600
1,18,20,427,3600
1,18,21,428,3600
1,18,22,429,3600
1,18,23,430,3600
1,18,24,431,3600
1,19,1,432,3600
1,19,2,433,3600
1,19,3,434,3600
1,19,4,435,3600
1,19,5,436,3600
1,19,6,437,3600
1,19,7,438,3600
1,19,8,439,3600
1,19,9,440,3600
1,19,10,441,3600
1,19,11,442,3600
1,19,12,443,3600
1,19,13,444,3600
1,19,14,445,3600
1,19,15,446,3600
1,19,16,447,3600
1,19,17,448,3600
1,19,18,449,3600
1,19,19,450,3600
1,19,20,451,3600
1,19,21,452,3600
1,19,22,453,3600
1,19,23,454,3600
1,19,24,455,3600
1,20,1,456,3600
1,20,2,457,3600
1,20,3,458,3600
1,20,4,459,3600
1,20,5,460,3600
1,20,6,461,3600
1,20,7,462,3600
1,20,8,463,3600
1,20,9,464,3600
1,20,10,465,3600
1,20,11,466,3600
1,20,12,467,3600
1,20,13,468,3600
1,20,14,469,3600
1,20,15,470,3600
1,20,16,471,3600
1,20,17,472,3600
1,20,18,473,3600
1,20,19,474,3600
1,20,20,475,3600
1,20,21,476,3600
1,20,22,477,3600
1,20,23,478,3600
1,20,24,479,3600
1,21,1,480,3600
1,21,2,481,3600
1,21,3,482,3600
1,21,4,483,3600
1,21,5,484,3600
1,21,6,485,3600
1,21,7,486,3600
1,21,8,487,3600
1,21,9,488,3600
1,21,10,489,3600
1,21,11,490,3600
1,21,12,491,3600
1,21,13,492,3600
1,21,14,493,3600
1,21,15,494,3600
1,21,16,495,3600
1,21,17,496,3600
1,21,18,497,3600
1,21,19,498,3600
1,21,20,499,3600
1,21,21,500,3600
1,21,22,501,3600
1,21,23,502,3600
1,21,24,503,3600
1,22,1,504,3600
1,22,2,505,3600
1,22,3,506,3600
1,22,4,507,3600
1,22,5,508,3600
1,22,6,509,3600
1,22,7,510,3600
1,22,8,511,3600
1,22,9,512,3600
1,22,10,513,3600
1,22,11,514,3600
1,22,12,515,3600
1,22,13,516,3600
1,22,14,517,3600
1,22,15,518,3600
1,22,16,519,3600
1,22,17,520,3600
1,22,18,521,3600
1,22,19,522,3600
1,22,20,523,3600
1,22,21,524,3600
1,22,22,525,3600
1,22,23,526,3600
1,22,24,527,3600
1,23,1,528,3600
1,23,2,529,3600
1,23,3,530,3600
1,23,4,531,3600
1,23,5,532,3600
1,23,6,533,3600
1,23,7,534,3600
1,23,8,535,3600
1,23,9,536,3600
1,23,10,537,3600
1,23,11,538,3600
1,23,12,539,3600
1,23,13,540,3600
1,23,14,541,3600
1,23,15,542,3600
1,23,16,543,3600
1,23,17,544,3600
1,23,18,545,3600
1,23,19,546,3600
