Time (hr),Time (month),Tb (C),GHE ExFT (C)
137,0.184139785,3.769094955,-0.594115239
138,0.185483871,3.760804225,-0.602242168
139,0.186827957,3.752574416,-0.610309379
140,0.188172043,3.744404647,-0.618317737
141,0.189516129,3.736294246,-0.6262679
142,0.190860215,3.7282465,-0.634156646
143,0.192204301,3.720259093,-0.641986244
144,0.193548387,3.712328567,-0.649760086
145,0.194892473,3.70445414,-0.657478937
146,0.196236559,3.696635035,-0.665143559
147,0.197580645,3.688870491,-0.672754697
148,0.198924731,3.681159759,-0.680313088
149,0.200268817,3.673502102,-0.687819451
150,0.201612903,3.665896801,-0.695274493
151,0.202956989,3.658343151,-0.702678905
152,0.204301075,3.650840458,-0.710033367
153,0.205645161,3.643388044,-0.717338542
154,0.206989247,3.635985243,-0.724595084
155,0.208333333,3.628631405,-0.731803632
156,0.209677419,3.621325889,-0.738964812
157,0.211021505,3.614068068,-0.74607924
158,0.212365591,3.606857327,-0.753147516
159,0.213709677,3.599693064,-0.760170234
160,0.215053763,3.592574687,-0.767147972
161,0.216397849,3.585501615,-0.774081301
162,0.217741935,3.578473278,-0.780970778
163,0.219086022,3.571489118,-0.787816951
164,0.220430108,3.564548585,-0.794620359
165,0.221774194,3.557651141,-0.801381529
166,0.22311828,3.550796257,-0.80810098
167,0.224462366,3.543983415,-0.81477922
168,0.225806452,3.537212104,-0.821416749
169,0.227150538,3.530481824,-0.828014058
170,0.228494624,3.523792084,-0.834571628
171,0.22983871,3.517142401,-0.841089933
172,0.231182796,3.5105323,-0.847569437
173,0.232526882,3.503961316,-0.854010598
174,0.233870968,3.497428991,-0.860413863
175,0.235215054,3.490934875,-0.866779673
176,0.23655914,3.484478527,-0.873108462
177,0.237903226,3.478059511,-0.879400656
178,0.239247312,3.471677402,-0.885656673
179,0.240591398,3.46533178,-0.891876925
180,0.241935484,3.459022231,-0.898061815
181,0.24327957,3.45274835,-0.904211741
182,0.244623656,3.446509739,-0.910327095
183,0.245967742,3.440306006,-0.916408261
184,0.247311828,3.434136763,-0.922455617
185,0.248655914,3.428001633,-0.928469534
186,0.25,3.421900242,-0.934450379
187,0.251344086,3.415832224,-0.940398511
188,0.252688172,3.409797215,-0.946314285
189,0.254032258,3.403794863,-0.952198048
190,0.255376344,3.397824816,-0.958050144
191,0.25672043,3.391886732,-0.963870909
192,0.258064516,3.38598027,-0.969660676
193,0.259408602,3.380105099,-0.97541977
194,0.260752688,3.37426089,-0.981148515
195,0.262096774,3.368447319,-0.986847226
196,0.26344086,3.36266407,-0.992516214
197,0.264784946,3.35691083,-0.998155787
198,0.266129032,3.351187289,-1.003766247
199,0.267473118,3.345493145,-1.009347891
200,0.268817204,3.339828099,-1.014901013
201,0.27016129,3.334191856,-1.020425899
202,0.271505376,3.328584127,-1.025922836
203,0.272849462,3.323004626,-1.031392101
204,0.274193548,3.317453072,-1.036833973
205,0.275537634,3.311929188,-1.042248721
206,0.27688172,3.306432699,-1.047636614
207,0.278225806,3.300963339,-1.052997917
208,0.279569892,3.29552084,-1.058332887
209,0.280913978,3.290104942,-1.063641782
210,0.282258065,3.284715388,-1.068924854
211,0.283602151,3.279351924,-1.074182351
212,0.284946237,3.274014301,-1.079414518
213,0.286290323,3.268702271,-1.084621598
214,0.287634409,3.263415592,-1.089803827
215,0.288978495,3.258154025,-1.094961441
216,0.290322581,3.252917332,-1.100094671
217,0.291666667,3.247705282,-1.105203746
218,0.293010753,3.242517645,-1.110288891
219,0.294354839,3.237354193,-1.115350327
220,0.295698925,3.232214705,-1.120388274
221,0.297043011,3.227098959,-1.125402948
222,0.298387097,3.222006738,-1.130394561
223,0.299731183,3.216937829,-1.135363323
224,0.301075269,3.211892019,-1.140309442
225,0.302419355,3.2068691,-1.145233122
226,0.303763441,3.201868867,-1.150134565
227,0.305107527,3.196891117,-1.155013969
228,0.306451613,3.191935649,-1.159871531
229,0.307795699,3.187002266,-1.164707445
230,0.309139785,3.182090773,-1.169521901
231,0.310483871,3.177200978,-1.174315088
232,0.311827957,3.172332689,-1.179087193
233,0.313172043,3.167485722,-1.183838398
234,0.314516129,3.162659889,-1.188568886
235,0.315860215,3.157855009,-1.193278836
236,0.317204301,3.153070901,-1.197968423
237,0.318548387,3.148307388,-1.202637823
238,0.319892473,3.143564294,-1.207287207
239,0.321236559,3.138841445,-1.211916746
240,0.322580645,3.134138671,-1.216526607
241,0.323924731,3.129455802,-1.221116956
242,0.325268817,3.124792671,-1.225687957
243,0.326612903,3.120149113,-1.230239771
244,0.327956989,3.115524966,-1.234772558
245,0.329301075,3.110920069,-1.239286475
246,0.330645161,3.106334263,-1.243781679
247,0.331989247,3.101767392,-1.248258322
248,0.333333333,3.097219299,-1.252716558
249,0.334677419,3.092689833,-1.257156534
250,0.336021505,3.088178842,-1.261578401
251,0.337365591,3.083686177,-1.265982304
252,0.338709677,3.07921169,-1.270368388
253,0.340053763,3.074755236,-1.274736795
254,0.341397849,3.07031667,-1.279087668
255,0.342741935,3.06589585,-1.283421145
256,0.344086022,3.061492749,-1.287737254
257,0.345430108,3.057120993,-1.292022636
258,0.346774194,3.052766368,-1.296291226
259,0.34811828,3.0484288,-1.300543096
260,0.349462366,3.04410818,-1.304778353
261,0.350806452,3.039804395,-1.308997108
262,0.352150538,3.03551732,-1.313199482
263,0.353494624,3.031246833,-1.317385597
264,0.35483871,3.02699281,-1.321555573
265,0.356182796,3.022755126,-1.325709532
266,0.357526882,3.018533661,-1.329847593
267,0.358870968,3.014328293,-1.333969875
268,0.360215054,3.0101389,-1.338076497
269,0.36155914,3.005965365,-1.342167575
270,0.362903226,3.001807569,-1.346243226
271,0.364247312,2.997665395,-1.350303562
272,0.365591398,2.993538727,-1.354348699
