Time (hr),Time (month),Q (Rejection) (w) (before time),Q (Rejection) (W/m) (before time),Tb (C),GHE ExFT (C)
1,0.0013440860215053765,38.76755491568787,0.4371799521422052,9.13,0.0
2,0.002688172043010753,37.60734941839393,0.4240963675600671,11.060878073316628,5.294308805726327
3,0.004032258064516129,40.855166115086504,0.4607218486128362,9.52207848123362,3.9280866531887053
4,0.005376344086021506,39.11136387565004,0.44105707013402107,8.8618261429993,2.784730338171593
5,0.006720430107526882,42.368764097358984,0.4777906241621719,8.089133549519254,2.271423626121491
6,0.008064516129032258,40.53351905672468,0.45709464937659033,7.821168728046829,1.5189293043594472
7,0.009408602150537635,42.89086655397982,0.4836783498001501,7.247275138736845,1.2180234666070604
8,0.010752688172043012,35.34643614161599,0.3986001514512849,7.0570046480389514,0.6771038916358251
9,0.012096774193548387,30.145776566067433,0.33995255014418874,6.317186788743143,1.0594997146841094
10,0.013440860215053764,22.905024102659738,0.2582989142027289,6.04975869170575,1.5656557073521424
11,0.01478494623655914,22.60434100527122,0.25490812460013035,5.801183384698983,2.3941228065668487
12,0.016129032258064516,19.39206321384767,0.21868341416440132,6.067867772813202,2.7055329947078026
13,0.01747311827956989,20.204067302213605,0.2278403473076737,6.042650708955614,3.1581335912951847
14,0.01881720430107527,17.51888338669025,0.19755965051793417,6.266424180700695,3.26112364424297
15,0.020161290322580645,18.77113065549555,0.21168118596780008,6.2126257354612076,3.6067390665729033
16,0.021505376344086023,21.829872389886052,0.24617447727710262,6.432174768211806,3.640019694431286
17,0.0228494623655914,27.01595702113888,0.3046577176008059,6.6331310384584405,3.385996378748593
18,0.024193548387096774,27.662645302972486,0.31195039191874524,6.811126230316749,2.79257546456811
19,0.025537634408602152,30.120420156128297,0.33966660706349155,6.60432204859239,2.4895781445392413
20,0.026881720430107527,29.615887495370806,0.33397701521371304,6.559529651076817,2.0791983643350247
21,0.028225806451612902,31.583904288836024,0.35617025101239413,6.3268845313582425,1.9216011175696752
22,0.02956989247311828,31.50304329651043,0.3552583852826117,6.298901039748706,1.600880434151695
23,0.030913978494623656,33.589057241739674,0.3787822695906792,6.114478369282201,1.428485618274052
24,0.03225806451612903,31.63681333319722,0.3567669038973136,6.083920325521568,1.087638624527151
25,0.033602150537634407,33.26301773441201,0.3751055369073833,5.79462505980066,1.0887343765097008
26,0.03494623655913978,31.96784425980423,0.36049992458862057,5.804778091037198,0.8569938876813317
27,0.036290322580645164,32.861507967580465,0.37057772954295726,5.601353553602461,0.8462229125131457
28,0.03763440860215054,30.35002544297876,0.3422558554320097,5.582923091575275,0.6948623834742312
29,0.038978494623655914,30.179917873938244,0.34033756011898586,5.355302939597957,0.8408184855050735
30,0.04032258064516129,68.8899716395279,0.7768690744089012,5.356653740776702,0.8674723289300189
31,0.041666666666666664,42.56462738988099,0.47999936559653394,7.272149120431204,-2.9750484179648096
32,0.043010752688172046,23.50159853492859,0.26502645692023513,4.455957065928012,-1.875416494430171
33,0.04435483870967742,16.290195616883516,0.18370379446588145,3.6157092348429183,0.11990981841073003
34,0.0456989247311828,11.826668840510534,0.13336880618188876,3.952703533653734,1.5295808577033585
35,0.04704301075268817,9.464729237518391,0.10673332079095868,4.3560003370750815,2.5968152344299313
36,0.04838709677419355,9.721687502019734,0.10963102744337855,4.764761389741902,3.356908434717113
37,0.04973118279569892,6.638587641545966,0.07486305065498104,5.201556723204437,3.755481919152818
38,0.051075268817204304,5.268742534518992,0.059415369736369766,5.328475609274195,4.341003596731758
39,0.05241935483870968,4.653600022530928,0.05247843562906159,5.590552532916352,4.806841286631168
40,0.053763440860215055,5.753908488472577,0.06488656411506462,5.8504853311816785,5.1582748749910285
41,0.05510752688172043,13.052361758749653,0.14719088942913475,6.146065349151458,5.290186975333097
42,0.056451612903225805,16.728641886382313,0.18864813308959089,6.6542989960023675,4.712795376515171
43,0.05779569892473118,17.569795863339696,0.19813378819964902,6.687529653097663,4.199189276709898
44,0.05913978494623656,18.440698699202063,0.20795491983745443,6.554644658421887,3.9411848959035582
45,0.06048387096774194,18.690868633483475,0.21077607479897895,6.483186971394585,3.7401827601932442
46,0.06182795698924731,0.0,0.0,6.39205714122447,3.6118408268136357
47,0.06317204301075269,0.09563559339249676,0.001078478233495817,5.3823582684492575,5.3823582684492575
48,0.06451612903225806,2.2002176183409485,0.024811753931365144,6.043904698381361,6.029679161719471
49,0.06586021505376344,3.570062725367922,0.04025943484997642,6.517733271280462,6.1904568328378256
50,0.06720430107526881,5.968539517484965,0.06730694845954896,6.7501282986306945,6.219091093930805
51,0.06854838709677419,7.573979614497631,0.08541142335629191,6.949876512977212,6.0620723522871796
52,0.06989247311827956,9.090372791566551,0.1025117201901139,7.020069255379665,5.893460208889519
53,0.07123655913978495,9.801150896947112,0.11052713253091788,7.056422127847275,5.704253684807963
54,0.07258064516129033,49.15949019853978,0.5543693333013363,7.022761218745263,5.564866448949527
