ln(t/ts),H: 91.61 m,H: 91.61 m bhw
-48.44819387843771,-1.7275004663590088,1.3879700198796517e-05
-47.07412725472971,-1.7225755985276656,1.684645267017321e-05
-45.7000606310217,-1.7176507306963225,1.981320514154992e-05
-44.325994007313696,-1.7127258628649795,2.2779957612926615e-05
-42.951927383605685,-1.7078009950336364,2.5746710084303325e-05
-41.57786075989768,-1.7028761272022932,2.871346255568002e-05
-40.20379413618967,-1.69795125937095,3.168021502705673e-05
-38.82972751248167,-1.6930263915396069,3.4646967498433426e-05
-37.45566088877366,-1.688101523708264,3.7613719969810136e-05
-36.081594265065654,-1.6831766558769208,4.058047244118683e-05
-34.70752764135764,-1.6782517880455776,4.354722491256354e-05
-33.33346101764964,-1.6733269202142345,4.651397738394023e-05
-31.959394393941633,-1.6684020523828913,4.948072985531694e-05
-30.585327770233626,-1.6634771845515484,5.2447482326693635e-05
-29.21126114652562,-1.6585523167202052,5.541423479807033e-05
-27.83719452281761,-1.653627448888862,5.838098726944704e-05
-26.463127899109605,-1.6487025810575189,6.134773974082374e-05
-25.089061275401598,-1.6437777132261757,6.431449221220044e-05
-23.71499465169359,-1.6388528453948328,6.728124468357715e-05
-22.340928027985584,-1.6339279775634896,7.024799715495384e-05
-20.966861404277576,-1.6290031097321465,7.321474962633055e-05
-19.59279478056957,-1.6240782419008033,7.618150209770725e-05
-18.218728156861562,-1.6191533740694601,7.914825456908396e-05
-16.844661533153555,-1.614228506238117,8.211500704046066e-05
-15.470594909445552,-1.5319922151411693,0.0002413984720623215
-14.096528285737541,-1.159236033571127,0.0057664737599987985
-12.722461662029538,-0.4311803483310434,0.11777405427460852
-11.348395038321527,0.5238778414321147,0.5984088832811715
-9.974328414613524,1.3991321888506179,1.3119106638978633
-8.600261790905511,2.1537888843134962,2.0308235159951273
-8.5,2.2280105618304216,2.2280105618304216
-7.8,2.5739606874219,2.5739606874219
-7.2,2.870355507405952,2.870355507405952
-6.5,3.2151804576433447,3.2151804576433447
-5.9,3.5092682169991787,3.5092682169991787
-5.2,3.8495430238325836,3.8495430238325836
-4.5,4.185073534304762,4.185073534304762
-3.963,4.4377090455665265,4.4377090455665265
-3.27,4.75475939656225,4.75475939656225
-2.864,4.9343385977065095,4.9343385977065095
-2.577,5.057815280633623,5.057815280633623
-2.171,5.22646320649449,5.22646320649449
-1.884,5.340805080659941,5.340805080659941
-1.191,5.595665063071772,5.595665063071772
-0.497,5.812813447009958,5.812813447009958
-0.274,5.872595297913909,5.872595297913909
-0.051,5.926755601743115,5.926755601743115
0.196,5.979891053824061,5.979891053824061
0.419,6.02151422344871,6.02151422344871
0.642,6.057227336039067,6.057227336039067
0.873,6.088216617163859,6.088216617163859
1.112,6.114343304612458,6.114343304612458
1.335,6.133888197546824,6.133888197546824
1.679,6.156339733537259,6.156339733537259
2.028,6.171689541971933,6.171689541971933
2.275,6.179212754763187,6.179212754763187
3.003,6.191350252682344,6.191350252682344
